Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [3957] loc 350. Original Value: tensor([[-142.]])
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [3957] loc 2002. Original Value: tensor([[174.]])
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [3957] loc 2242. Original Value: tensor([[29.3750]])
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [3957] loc 3080. Original Value: tensor([[-175.]])
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [3957] loc 3775. Original Value: tensor([[74.5000]])
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 142.19337016574585 in layer 3 token_dim [] loc 3775. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -276.8674033149171 in layer 3 token_dim [] loc 350. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 354.72375690607737 in layer 3 token_dim [] loc 2002. Original Value: tensor([], size=(1, 0))
Resetting massive activations to 54.648049645390074 in layer 3 token_dim [] loc 2242. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -355.50276243093924 in layer 3 token_dim [] loc 3080. Original Value: tensor([], size=(1, 0))
